model,frequency_Hz,Omega,inertial_to_elastic,D_viscous_to_elastic,w_amplitude_um,dynamic_compliance_uL_per_mmHg,phase_lag_deg,hysteresis_J_per_cycle,wall_loss_fraction,radiation_loss_fraction,nonlinearity_index,THD,third_to_fundamental,linear_exact_amplitude_um,linear_exact_phase_deg
linear,0.1,2.55045652788994e-05,6.50482850065643e-10,0.00417794551282051,20.921187579417,0.210322717452385,-0.239377799171308,1.47216286294122e-07,0.997300384574371,0.00269961542562863,0,7.10515888640788e-16,5.85832901535696e-17,20.9211158845127,-0.239377252287533
linear,0.113646366638572,2.89850117664321e-05,8.40130907100208e-10,0.00474808327545979,20.921134337673,0.210322182207995,-0.272043709768326,1.67300497464993e-07,0.997300384574371,0.00269961542562863,0,1.58347238235045e-16,5.45493046940985e-17,20.9210626551419,-0.272043088361478
linear,0.129154966501488,3.29404127423128e-05,1.08507079163392e-09,0.00539602412753377,20.9210656012961,0.210321491194567,-0.309167114662529,1.90134928117167e-07,0.997300384574371,0.00269961542562862,0,1.3235229442337e-16,4.45910616153915e-17,20.9209939073671,-0.309166408343234
linear,0.146779926762207,3.74355822373879e-05,1.40142281745223e-09,0.00613238536388286,20.9209767984762,0.210320598451249,-0.35135619842589,2.16074991797914e-07,0.997300384574371,0.00269961542562863,0,9.66399417054633e-17,2.68085959812654e-17,20.9209051172046,-0.351355395860242
linear,0.166810053720006,4.25441790427861e-05,1.81000717042464e-09,0.00696923315432847,20.9208621342749,0.21031944572097,-0.39930209450668,2.45512677763475e-07,0.997300384574371,0.00269961542562863,0,1.37447959367941e-16,3.49230387956404e-17,20.9207904419728,-0.39930118227793
linear,0.189573565240638,4.83499136983354e-05,2.33771415463649e-09,0.00792028026246509,20.9207140271241,0.210317956785491,-0.453790180661713,2.79070528558528e-07,0.997300384574371,0.00269961542562863,0,1.9894551086787e-16,1.36328143568657e-16,20.9206423360062,-0.453789143961575
linear,0.215443469003188,5.49479201910437e-05,3.0192739333213e-09,0.00900111074588356,20.9205227440377,0.210316033798166,-0.515712909023449,3.171477164716e-07,0.997300384574371,0.00269961542562862,0,1.15927572149247e-16,4.14115943191245e-17,20.9204510544493,-0.515711730873018
linear,0.244843674682223,6.24463148405837e-05,3.8995422371693e-09,0.0102294353198108,20.9202757001958,0.210313550242586,-0.586084369537332,3.60418344363729e-07,0.997300384574371,0.00269961542562863,0,2.70717561145356e-16,8.28346544524972e-17,20.9202040125826,-0.586083030643751
linear,0.278255940220712,7.0967967916007e-05,5.0364524701274e-09,0.0116253815686078,20.9199566437553,0.210310342737404,-0.666056819424227,4.09538614793603e-07,0.997300384574371,0.00269961542562862,0,1.8976905170369e-16,1.03908850294804e-16,20.9198849586931,-0.666055297866723
linear,0.316227766016838,8.06525170137698e-05,6.50482850065643e-09,0.013211823760593,20.9195445881179,0.210306200302321,-0.756939435516671,4.65465656467546e-07,0.997300384574371,0.00269961542562862,0,1.43379521254234e-16,8.05468244138763e-17,20.9194729063502,-0.756937706389997
linear,0.359381366380463,9.16586551887059e-05,8.40130907100208e-09,0.0150147576706056,20.9190124338272,0.210300850503888,-0.860219577707767,5.2895789408959e-07,0.997300384574371,0.00269961542562863,0,1.75195212074795e-16,8.11602029063397e-17,20.918940756314,-0.860217612718083
linear,0.408423865267452,0.000104166731331742,1.08507079163392e-08,0.0170637265522296,20.9183251902248,0.21029394157764,-0.977586883816656,6.01101930231655e-07,0.997300384574371,0.00269961542562862,0,3.3190488283108e-16,1.68881274167947e-16,20.9182535182056,-0.977584650824021
linear,0.464158883361278,0.000118381705404688,1.40142281745223e-08,0.0193923052397503,20.9174376812054,0.210285019363831,-1.11096054945057,6.83072537903895e-07,0.997300384574371,0.00269961542562863,0,1.54488912855381e-16,7.85436792325776e-17,20.9173660162809,-1.11095801195095
linear,0.527499706370262,0.000134536506957206,1.81000717042464e-08,0.0220386503124377,20.9162915863779,0.210273497561942,-1.26252017940584,7.76202055512235e-07,0.997300384574371,0.00269961542562863,0,1.4464245835557e-16,2.34140980310768e-17,20.9162199306144,-1.26251729594572
linear,0.599484250318941,0.000152895851959315,2.33771415463648e-08,0.0250461253362659,20.9148116267312,0.21025861938481,-1.43474062751557,8.82000606395606e-07,0.997300384574371,0.00269961542562863,0,2.717700006474e-16,8.19577739205416e-17,20.9147399827961,-1.43473735103155
linear,0.681292069057961,0.000173760580492852,3.0192739333213e-08,0.0284640114284091,20.9129006501497,0.210239408152843,-1.63043126598879,1.00212726831416e-06,0.997300384574371,0.00269961542562863,0,1.90156031888211e-16,4.92162494279941e-17,20.9128290214857,-1.63042754306413
linear,0.774263682681127,0.000197472586380219,3.8995422371693e-08,0.032348314787975,20.9104333039647,0.210214603683568,-1.85278013758622,1.13867069758877e-06,0.997300384574371,0.00269961542562863,0,2.51170221531301e-16,3.90143356243629e-17,20.9103616950144,-1.85277590761586
linear,0.879922543569107,0.000224420419528335,5.0364524701274e-08,0.0367626844253416,20.9072478957894,0.210182580467816,-2.10540343591467,1.29366364306141e-06,0.997300384574371,0.00269961542562862,0,1.70669003035934e-16,5.99368289629796e-17,20.9071763122841,-2.10539863017156
linear,1,0.000255045652788994,6.50482850065643e-08,0.0417794551282051,20.9031359363755,0.210141242543059,-2.39240071793435,1.46962347616623e-06,0.997300384574371,0.00269961542562862,0,1.58713564417886e-16,2.88226459031971e-17,20.9030643857066,-2.39239525852989
linear,1.13646366638572,0.000289850117664321,8.40130907100208e-08,0.0474808327545979,20.8978287251313,0.210087888636321,-2.71841615955594,1.66932569257428e-06,0.997300384574371,0.00269961542562863,0,3.01574274349821e-16,1.98847986779324e-16,20.8977572168272,-2.71840995829116
linear,1.29154966501488,0.000329404127423128,1.08507079163392e-07,0.0539602412753377,20.8909801765435,0.210019039516541,-3.08870599230301,1.8958847630964e-06,0.997300384574371,0.00269961542562863,0,1.33358757219716e-16,8.06411259867493e-17,20.8909087228808,-3.08869894940913
linear,1.46779926762207,0.000374355822373879,1.40142281745223e-07,0.0613238536388286,20.8821448916576,0.209930217545053,-3.50921196636148,2.15273100297592e-06,0.997300384574371,0.00269961542562862,0,2.49190714432928e-16,7.64281856032937e-17,20.8820735084421,-3.50920396913694
